tech_society;The Mechanists Guild;;;;;;;;;;;;;x
tech_society_desc;The world drives around innovation and technology. By inventing new things we can reach new heights and accomplish a lot of things.;;;;;;;;;;;;;x
tech_society_rank_1_female;Apprentice;;;;;;;;;;;;;x
tech_society_rank_2_female;Engineer;;;;;;;;;;;;;x
tech_society_rank_3_female;Mechanic;;;;;;;;;;;;;x
tech_society_rank_4_female;Master Mechanic;;;;;;;;;;;;;x
tech_society_rank_1_male;Apprentice;;;;;;;;;;;;;x
tech_society_rank_2_male;Engineer;;;;;;;;;;;;;x
tech_society_rank_3_male;Mechanic;;;;;;;;;;;;;x
tech_society_rank_4_male;Master Mechanic;;;;;;;;;;;;;x
currency_name_tech_society;Innovativeness;;;;;;;;;;;;;x
tech_society_leader_desc;Head Mechanic;;;;;;;;;;;;;x
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
DESC_tech_society_welcome_letter;You are welcomed to the Mechanists Guild! Enjoy your time in our wonderful society!;;;;;;;;;;;;;x
tech_society_welcome_letter_option;I'm in!;;;;;;;;;;;;;x
TITLE_MECH_100;Toy Blueprint;;;;;;;;;;;;;x
DESC_MECH_100;In order to actually make a toy I will first have to go over some designs and see which will look the best.;;;;;;;;;;;;;x
OPTA_MECH100;I can't decide!;;;;;;;;;;;;;x
OPTB_MECH100;Yeah that's fine.;;;;;;;;;;;;;x
OPTC_MECH100;I'll work hard!;;;;;;;;;;;;;x
TITLE_MECH_101;Shaping the toy.;;;;;;;;;;;;;x
DESC_MECH_101;Now that I've made the blueprint for my toy I can start work on the main body.;;;;;;;;;;;;;x
OPTA_MECH101;Just wood, yes?;;;;;;;;;;;;;x
OPTB_MECH101;I'll mix in some better materials.;;;;;;;;;;;;;x
OPTC_MECH101;Pay the best artisan in town!;;;;;;;;;;;;;x
OPTD_MECH101;I'll do it myself!;;;;;;;;;;;;;x
TITLE_MECH_102;Decoration is needed.;;;;;;;;;;;;;x
DESC_MECH_102;I can't simply leave this slab of wood as is. I'll have to put some decorations on it and paint it a nice colour.;;;;;;;;;;;;;x
OPTA_MECH102;Well I don't have to…;;;;;;;;;;;;;x
OPTB_MECH102;There are no mistakes, just happy little accidents.;;;;;;;;;;;;;x
OPTC_MECH102;I'll stay up all night working on this!;;;;;;;;;;;;;x
TITLE_MECH_103;The product is done.;;;;;;;;;;;;;x
DESC_MECH_103;After months of slowly putting it together, the toy I was requested to make is now finally done.;;;;;;;;;;;;;x
OPTA_MECH103;It's not that bad, right?;;;;;;;;;;;;;x
OPTA_MECH103;Atleast it's not bad.;;;;;;;;;;;;;x
OPTA_MECH103;I expected nothing less of myself.;;;;;;;;;;;;;x
quest_design_toy_succes_desc;You succesfully completed the Design Toy mission.;;;;;;;;;;;;;x
quest_design_toy_succes_option;Hurray!;;;;;;;;;;;;;x
quest_design_toy_fail_desc;You lack discipline and didn't manage to succesfully complete the Design Toy mission.;;;;;;;;;;;;;x
quest_design_toy_fail_option;Bummer.;;;;;;;;;;;;;x
pursue_mastery_tech_society;Pursueing Mastery;;;;;;;;;;;;;x
creative;Creative;;;;;;;;;;;;;x
streamlined_production_1;Conveyor Belts;;;;;;;;;;;;;x
streamlined_production_desc;By having streamlined production we will be able to produce larger quantites of our products.;;;;;;;;;;;;;x
factory_simple_manufacturing;§YWill be able to do §GSimple Manufacturing§Y!§!;;;;;;;;;;;;;x
recruit_to_tech_society;Recruit to The Mechanists Guild;;;;;;;;;;;;;x
recruit_to_tech_society_power_desc;Ability to recruit new members in to §YThe Mechanists Guild§!.;;;;;;;;;;;;;x
basic_artifact_building;Simple Artifact Assembly;;;;;;;;;;;;;x
basic_artifact_building_power_desc;Grants access to new buildings on factories which will aid you with building §GNew Artifacts§!.;;;;;;;;;;;;;x
invite_mechanic;Invite Mechanic;;;;;;;;;;;;;x
invite_mechanic_power_desc;Can invite a fellow §YMechanic§! from the §YGuild§! into your court.;;;;;;;;;;;;;x
intermediate_artifact_building;Intermediate Artifact Assembly;;;;;;;;;;;;;x
intermediate_artifact_building_power_desc;Grants access to new buildings on factories that will help produce §GBetter Artifacts§!.;;;;;;;;;;;;;x
advanced_artifact_building;Advanced Artifact Assembly;;;;;;;;;;;;;x
advanced_artifact_building_power_desc;Grants access to high-tech factory buildings which will allow you to produce §GHigh-quality Artifacts§!.;;;;;;;;;;;;;x
pursue_matery;Pursue Mastery;;;;;;;;;;;;;x
pursue_matery_power_desc;Enables §Gright-clicking§! yourself to pursue mastery in a §YMechanics§!, §YEngineering§! or §YDesigning§!.;;;;;;;;;;;;;x
design_toy;Design Toy;;;;;;;;;;;;;x
design_toy_power_desc;Design a toy for your child, maybe if its made with high level artisanry the society will reward you for your hard work!;;;;;;;;;;;;;x
factory_intermediate_manufacturing;§YWill be able to do §GIntermediate Manufacturing§Y!§!;;;;;;;;;;;;;x
factory_advanced_manufacturing;§YWill be able to do §GAdvanced Manufacturing§Y!§!;;;;;;;;;;;;;x
opinion_toy_bad;Bad Gift;;;;;;;;;;;;;x
opinion_toy_mid;Decent Gift;;;;;;;;;;;;;x
opinion_toy_good;Great Gift;;;;;;;;;;;;;x
inspired_by_walk;Inspired;;;;;;;;;;;;;x
bought_art;Bought Art;;;;;;;;;;;;;x
